"synonym","species"
"Babiana_thunbergii","Babiana_hirsuta"
"Babingtonia_angusta","Sannantha_angusta"
"Babingtonia_crenulata","Sannantha_crenulata"
"Babingtonia_cunninghamii","Sannantha_cunninghamii"
"Babingtonia_densifolia","Harmogia_densifolia"
"Babingtonia_granitica","Kardomia_granitica"
"Babingtonia_jucunda","Kardomia_jucunda"
"Babingtonia_leratii","Sannantha_leratii"
"Babingtonia_odontocalyx","Kardomia_odontocalyx"
"Babingtonia_prominens","Kardomia_prominens"
"Babingtonia_silvestris","Kardomia_silvestris"
"Babingtonia_squarrulosa","Kardomia_squarrulosa"
"Babingtonia_tozerensis","Sannantha_tozerensis"
"Babingtonia_virgata","Sannantha_virgata"
"Baccaurea_stylaris","Nothobaccaurea_stylaris"
"Bactris_porschiana","Bactris_coloradonis"
"Bactris_wendlandiana","Bactris_hondurensis"
"Baeckea_astarteoides","Astartea_astarteoides"
"Baeckea_cunninghamii","Sannantha_cunninghamii"
"Baeckea_densifolia","Harmogia_densifolia"
"Baeckea_leratii","Sannantha_leratii"
"Baeckea_pinifolia","Sannantha_pinifolia"
"Baeckea_procera","Sannantha_procera"
"Baeckea_tetragona","Astus_tetragonus"
"Baeckea_virgata","Sannantha_virgata"
"Balanophora_alutacea","Balanophora_abbreviata"
"Balanophora_hildebrandtii","Balanophora_abbreviata"
"Balanophora_insularis","Balanophora_abbreviata"
"Balanophora_zollingeri","Balanophora_abbreviata"
"Baliospermum_montanum","Baliospermum_solanifolium"
"Balizia_pedicellaris","Albizia_pedicellaris"
"Bambusa_weberbaueri","Guadua_weberbaueri"
"Banara_bernardinensis","Banara_tomentosa"
"Banisteriopsis_hypericifolia","Diplopterys_hypericifolia"
"Banisteriopsis_lucida","Diplopterys_lucida"
"Banisteriopsis_lutea","Diplopterys_lutea"
"Banisteriopsis_nitrosiodora","Diplopterys_lutea"
"Banisteriopsis_platyptera","Diplopterys_platyptera"
"Banisteriopsis_pubipetala","Diplopterys_pubipetala"
"Banisteriopsis_wurdackii","Bronwenia_wurdackii"
"Banksia_alliacea","Dryandra_nervosa"
"Banksia_anatona","Dryandra_anatona"
"Banksia_arborea","Dryandra_arborea"
"Banksia_bella","Dryandra_pulchella"
"Banksia_catoglypta","Dryandra_catoglypta"
"Banksia_cirsioides","Dryandra_cirsioides"
"Banksia_comosa","Dryandra_comosa"
"Banksia_cynaroides","Dryandra_cynaroides"
"Banksia_epimicta","Dryandra_epimicta"
"Banksia_foliosissima","Dryandra_foliosissima"
"Banksia_heliantha","Dryandra_quercifolia"
"Banksia_hewardiana","Dryandra_hewardiana"
"Banksia_horrida","Dryandra_horrida"
"Banksia_idiogenes","Dryandra_idiogenes"
"Banksia_insulanemorecincta","Dryandra_insulanemorecincta"
