"Country","Long","Lat"
"United Arab Emirates",54.2048656620698,23.8956073238424
"Estonia",25.836745861308,58.6870566777791
"French Guiana",-53.2415833005302,3.92406178797558
"Croatia",16.3941059085482,45.1434074828314
"Denmark",9.31699212247438,56.0359053855112
"Slovakia",19.4571515440598,48.713990017873
"Panama",-80.1003905532634,8.51455901108066
"Sierra Leone",-11.7791031751911,8.56923211145944
"Bosnia and Herzegovina",17.7961963715638,44.208987763635
"Sri Lanka",80.7046296075411,7.60577983882164
"Switzerland",8.23031102337188,46.8031757570575
"Papua New Guinea",150.645917931786,-5.47810117942541
"Netherlands",5.66086399963334,52.251109544066
"Togo",0.977547435240085,8.53169137784485
"Costa Rica",-84.1918849109773,9.97201445418049
"Dominican Republic",-70.494637734351,18.8960915829478
"Moldova",28.465955109349,47.1959728818311
