Timestamp,What percentage of the world's vascular plant species are woody?,How would you rate your familiarity with plants?,How much formal training have you received in botany?,What continent/country did you receive your biology/botany training?,In what country did you receive your biology/botany training?
06/04/12 11:56,60,Very Familiar,Postgraduate degree in botany or a related field,,UK
06/04/12 12:02,75,Very Familiar,Postgraduate degree in botany or a related field,,USA
06/04/12 12:08,35,Very Familiar,Postgraduate degree in botany or a related field,,USA
06/04/12 12:10,30,Very Familiar,Postgraduate degree in botany or a related field,,USA
06/04/12 12:14,47.5,Very Familiar,Postgraduate degree in botany or a related field,,Ecuador
06/04/12 12:15,25,Very Familiar,Postgraduate degree in botany or a related field,,USA
06/04/12 12:16,10,What's a Plant?,Some botany courses at either an undergraduate or postgraduate level,,USA
06/04/12 12:23,40,Very Familiar,Postgraduate degree in botany or a related field,,UK
06/04/12 12:26,65,Very Familiar,Postgraduate degree in botany or a related field,,USA
06/04/12 12:26,40,Somewhat Familiar,Some botany courses at either an undergraduate or postgraduate level,,Germany and USA
06/04/12 12:26,65,Very Familiar,Partially complete postgraduate degree in botany or a related field,,USA
06/04/12 12:32,25,Familiar,Postgraduate degree in botany or a related field,,USA
06/04/12 12:35,40,Somewhat Familiar,Undergraduate degree in botany or a related field,,UK
06/04/12 12:48,60,Very Familiar,Partially complete postgraduate degree in botany or a related field,,Colombia and USA
06/04/12 12:48,12.5,Familiar,Some botany courses at either an undergraduate or postgraduate level,,USA
06/04/12 13:09,30,Very Familiar,Postgraduate degree in botany or a related field,,"Germany, USA, Austria, UK"
06/04/12 13:10,40,Familiar,Undergraduate degree in botany or a related field,,USA
06/04/12 13:12,70,Somewhat Familiar,Some botany courses at either an undergraduate or postgraduate level,,Brazil
06/04/12 13:17,20,Familiar,Postgraduate degree in botany or a related field,,US
06/04/12 13:33,35,Very Familiar,Postgraduate degree in botany or a related field,,Netherlands
06/04/12 13:34,40,Very Familiar,Postgraduate degree in botany or a related field,,france
06/04/12 13:37,25,Familiar,Partially complete postgraduate degree in botany or a related field,,"US, UK, Canada"
06/04/12 13:38,37.5,Very Familiar,Postgraduate degree in botany or a related field,,USA
06/04/12 13:41,90,Very Familiar,Postgraduate degree in botany or a related field,,USA
06/04/12 14:06,40,Very Familiar,Postgraduate degree in botany or a related field,,Sweden
06/04/12 14:14,30,Somewhat Familiar,Postgraduate degree in botany or a related field,,USA
06/04/12 14:25,20,Somewhat Familiar,No formal training in botany,,USA
06/04/12 15:16,6.5,Familiar,Postgraduate degree in botany or a related field,,Slovakia
06/04/12 15:51,17.5,Very Familiar,Postgraduate degree in botany or a related field,,Russia
06/04/12 16:05,30,Very Familiar,Undergraduate degree in botany or a related field,,USA
06/04/12 16:38,30,Very Familiar,Postgraduate degree in botany or a related field,,USA
06/04/12 17:13,5,Very Familiar,Postgraduate degree in botany or a related field,,Canada
06/04/12 18:49,20,Very Familiar,Partially complete postgraduate degree in botany or a related field,,Mexico
06/04/12 19:13,60,Very Familiar,Partially complete postgraduate degree in botany or a related field,,USA
06/04/12 20:13,15,Very Familiar,Postgraduate degree in botany or a related field,,Australia
06/04/12 21:33,40,Very Familiar,Postgraduate degree in botany or a related field,,Brazil
06/04/12 23:01,20,Familiar,Postgraduate degree in botany or a related field,,USA
06/04/12 23:39,40,Very Familiar,Postgraduate degree in botany or a related field,,Australia
06/05/12 1:12,40,Very Familiar,Postgraduate degree in botany or a related field,,Belgium
06/05/12 1:14,17.5,Somewhat Familiar,Some botany courses at either an undergraduate or postgraduate level,,Netherlands
06/05/12 1:20,35,Familiar,Partially complete postgraduate degree in botany or a related field,,Netherlands
06/05/12 1:22,35,Very Familiar,Postgraduate degree in botany or a related field,,USA
06/05/12 4:16,42.5,Very Familiar,Postgraduate degree in botany or a related field,,USA
06/05/12 6:16,20,Very Familiar,Postgraduate degree in botany or a related field,,Canada
06/05/12 8:16,15,Very Familiar,Postgraduate degree in botany or a related field,,USA
06/05/12 8:25,5,Very Familiar,Postgraduate degree in botany or a related field,,Spain
06/05/12 9:30,1,Very Familiar,Postgraduate degree in botany or a related field,,USA
06/05/12 9:48,30,Familiar,Postgraduate degree in botany or a related field,,USA
06/05/12 10:46,40,Very Familiar,Postgraduate degree in botany or a related field,,USA
06/05/12 10:48,40,Very Familiar,Postgraduate degree in botany or a related field,,USA
06/05/12 11:05,35,Very Familiar,Postgraduate degree in botany or a related field,,USA
06/05/12 11:06,35,Very Familiar,Undergraduate degree in botany or a related field,,Netherlands and Mexico
06/05/12 11:45,40,Somewhat Familiar,Some botany courses at either an undergraduate or postgraduate level,,USA
06/05/12 11:50,30,Somewhat Familiar,Some botany courses at either an undergraduate or postgraduate level,,USA
06/05/12 11:51,20,Somewhat Familiar,Some botany courses at either an undergraduate or postgraduate level,,Germany and USA
